تتبع LL(1) الرسمي: Stack → Lookahead → Action
====================================================================================================
  1 | Start | "برنامج" (Program) | M[Start, Program] = ProgramUnit Eof
 22 | FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | M[FieldListTail, Semicolon] = Semicolon FieldList
 23 | Semicolon FieldList RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
 24 | FieldList RightBrace Semicolon DefinitionList Block Dot Eof | "درجة_ثانية" (Identifier) | M[FieldList, Identifier] = FieldDeclaration FieldListTail
 25 | FieldDeclaration FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "درجة_ثانية" (Identifier) | M[FieldDeclaration, Identifier] = Identifier Colon DataType
 26 | Identifier Colon DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "درجة_ثانية" (Identifier) | Match terminal Identifier
 27 | Colon DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
 28 | DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | M[DataType, TypeInt] = TypeInt
 29 | TypeInt FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | Match terminal TypeInt
 30 | FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | M[FieldListTail, Semicolon] = Semicolon FieldList
 31 | Semicolon FieldList RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
 32 | FieldList RightBrace Semicolon DefinitionList Block Dot Eof | "ناجح" (Identifier) | M[FieldList, Identifier] = FieldDeclaration FieldListTail
 33 | FieldDeclaration FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "ناجح" (Identifier) | M[FieldDeclaration, Identifier] = Identifier Colon DataType
 34 | Identifier Colon DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "ناجح" (Identifier) | Match terminal Identifier
 35 | Colon DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
 36 | DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "منطقي" (TypeBool) | M[DataType, TypeBool] = TypeBool
 37 | TypeBool FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "منطقي" (TypeBool) | Match terminal TypeBool
 38 | FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "}" (RightBrace) | M[FieldListTail, RightBrace] = ε
 39 | RightBrace Semicolon DefinitionList Block Dot Eof | "}" (RightBrace) | Match terminal RightBrace
 40 | Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
 41 | DefinitionList Block Dot Eof | "متغير" (Variable) | M[DefinitionList, Variable] = Definition DefinitionList
 42 | Definition DefinitionList Block Dot Eof | "متغير" (Variable) | M[Definition, Variable] = VariableDeclaration
 43 | VariableDeclaration DefinitionList Block Dot Eof | "متغير" (Variable) | M[VariableDeclaration, Variable] = Variable NameList Colon DataType Semicolon
 44 | Variable NameList Colon DataType Semicolon DefinitionList Block Dot Eof | "متغير" (Variable) | Match terminal Variable
 45 | NameList Colon DataType Semicolon DefinitionList Block Dot Eof | "أحمد" (Identifier) | M[NameList, Identifier] = Identifier NameListTail
 46 | Identifier NameListTail Colon DataType Semicolon DefinitionList Block Dot Eof | "أحمد" (Identifier) | Match terminal Identifier
 47 | NameListTail Colon DataType Semicolon DefinitionList Block Dot Eof | ":" (Colon) | M[NameListTail, Colon] = ε
 48 | Colon DataType Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
 49 | DataType Semicolon DefinitionList Block Dot Eof | "طالب" (Identifier) | M[DataType, Identifier] = Identifier
 50 | Identifier Semicolon DefinitionList Block Dot Eof | "طالب" (Identifier) | Match terminal Identifier
 51 | Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
 52 | DefinitionList Block Dot Eof | "متغير" (Variable) | M[DefinitionList, Variable] = Definition DefinitionList
 53 | Definition DefinitionList Block Dot Eof | "متغير" (Variable) | M[Definition, Variable] = VariableDeclaration
 54 | VariableDeclaration DefinitionList Block Dot Eof | "متغير" (Variable) | M[VariableDeclaration, Variable] = Variable NameList Colon DataType Semicolon
 55 | Variable NameList Colon DataType Semicolon DefinitionList Block Dot Eof | "متغير" (Variable) | Match terminal Variable
 56 | NameList Colon DataType Semicolon DefinitionList Block Dot Eof | "مجموع_الدرجات" (Identifier) | M[NameList, Identifier] = Identifier NameListTail
 57 | Identifier NameListTail Colon DataType Semicolon DefinitionList Block Dot Eof | "مجموع_الدرجات" (Identifier) | Match terminal Identifier
 58 | NameListTail Colon DataType Semicolon DefinitionList Block Dot Eof | ":" (Colon) | M[NameListTail, Colon] = ε
 59 | Colon DataType Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
 60 | DataType Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | M[DataType, TypeInt] = TypeInt
 61 | TypeInt Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | Match terminal TypeInt
 62 | Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
 63 | DefinitionList Block Dot Eof | "متغير" (Variable) | M[DefinitionList, Variable] = Definition DefinitionList
 64 | Definition DefinitionList Block Dot Eof | "متغير" (Variable) | M[Definition, Variable] = VariableDeclaration
 65 | VariableDeclaration DefinitionList Block Dot Eof | "متغير" (Variable) | M[VariableDeclaration, Variable] = Variable NameList Colon DataType Semicolon
 66 | Variable NameList Colon DataType Semicolon DefinitionList Block Dot Eof | "متغير" (Variable) | Match terminal Variable
 67 | NameList Colon DataType Semicolon DefinitionList Block Dot Eof | "المعدل" (Identifier) | M[NameList, Identifier] = Identifier NameListTail
 68 | Identifier NameListTail Colon DataType Semicolon DefinitionList Block Dot Eof | "المعدل" (Identifier) | Match terminal Identifier
 69 | NameListTail Colon DataType Semicolon DefinitionList Block Dot Eof | ":" (Colon) | M[NameListTail, Colon] = ε
 70 | Colon DataType Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
 71 | DataType Semicolon DefinitionList Block Dot Eof | "حقيقي" (TypeReal) | M[DataType, TypeReal] = TypeReal
 72 | TypeReal Semicolon DefinitionList Block Dot Eof | "حقيقي" (TypeReal) | Match terminal TypeReal
 73 | Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
 74 | DefinitionList Block Dot Eof | "إجراء" (Procedure) | M[DefinitionList, Procedure] = Definition DefinitionList
 75 | Definition DefinitionList Block Dot Eof | "إجراء" (Procedure) | M[Definition, Procedure] = ProcedureDeclaration
 76 | ProcedureDeclaration DefinitionList Block Dot Eof | "إجراء" (Procedure) | M[ProcedureDeclaration, Procedure] = Procedure Identifier LeftParen FormalParametersOpt RightParen Semicolon DefinitionList Block Semicolon
 77 | Procedure Identifier LeftParen FormalParametersOpt RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "إجراء" (Procedure) | Match terminal Procedure
 78 | Identifier LeftParen FormalParametersOpt RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "احسب_المجموع" (Identifier) | Match terminal Identifier
 79 | LeftParen FormalParametersOpt RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "(" (LeftParen) | Match terminal LeftParen
 80 | FormalParametersOpt RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالقيمة" (ByValue) | M[FormalParametersOpt, ByValue] = FormalParameter FormalParametersTail
 81 | FormalParameter FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالقيمة" (ByValue) | M[FormalParameter, ByValue] = PassingMode NameList Colon DataType
 82 | PassingMode NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالقيمة" (ByValue) | M[PassingMode, ByValue] = ByValue
 83 | ByValue NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالقيمة" (ByValue) | Match terminal ByValue
 84 | NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | M[NameList, Identifier] = Identifier NameListTail
 85 | Identifier NameListTail Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | Match terminal Identifier
 86 | NameListTail Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ":" (Colon) | M[NameListTail, Colon] = ε
 87 | Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
 88 | DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | M[DataType, TypeInt] = TypeInt
 89 | TypeInt FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | Match terminal TypeInt
 90 | FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | M[FormalParametersTail, Semicolon] = Semicolon FormalParameter FormalParametersTail
 91 | Semicolon FormalParameter FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
 92 | FormalParameter FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالقيمة" (ByValue) | M[FormalParameter, ByValue] = PassingMode NameList Colon DataType
 93 | PassingMode NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالقيمة" (ByValue) | M[PassingMode, ByValue] = ByValue
 94 | ByValue NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالقيمة" (ByValue) | Match terminal ByValue
 95 | NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "د2" (Identifier) | M[NameList, Identifier] = Identifier NameListTail
 96 | Identifier NameListTail Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "د2" (Identifier) | Match terminal Identifier
 97 | NameListTail Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ":" (Colon) | M[NameListTail, Colon] = ε
 98 | Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
 99 | DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | M[DataType, TypeInt] = TypeInt
100 | TypeInt FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | Match terminal TypeInt
101 | FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | M[FormalParametersTail, Semicolon] = Semicolon FormalParameter FormalParametersTail
102 | Semicolon FormalParameter FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
103 | FormalParameter FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالمرجع" (ByReference) | M[FormalParameter, ByReference] = PassingMode NameList Colon DataType
104 | PassingMode NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالمرجع" (ByReference) | M[PassingMode, ByReference] = ByReference
105 | ByReference NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "بالمرجع" (ByReference) | Match terminal ByReference
106 | NameList Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "ناتج" (Identifier) | M[NameList, Identifier] = Identifier NameListTail
107 | Identifier NameListTail Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "ناتج" (Identifier) | Match terminal Identifier
108 | NameListTail Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ":" (Colon) | M[NameListTail, Colon] = ε
109 | Colon DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
110 | DataType FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | M[DataType, TypeInt] = TypeInt
111 | TypeInt FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | Match terminal TypeInt
112 | FormalParametersTail RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ")" (RightParen) | M[FormalParametersTail, RightParen] = ε
113 | RightParen Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ")" (RightParen) | Match terminal RightParen
114 | Semicolon DefinitionList Block Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
115 | DefinitionList Block Semicolon DefinitionList Block Dot Eof | "{" (LeftBrace) | M[DefinitionList, LeftBrace] = ε
116 | Block Semicolon DefinitionList Block Dot Eof | "{" (LeftBrace) | M[Block, LeftBrace] = LeftBrace StatementList RightBrace
117 | LeftBrace StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "{" (LeftBrace) | Match terminal LeftBrace
118 | StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "ناتج" (Identifier) | M[StatementList, Identifier] = Statement StatementList
119 | Statement StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "ناتج" (Identifier) | M[Statement, Identifier] = IdentifierStatement
120 | IdentifierStatement StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "ناتج" (Identifier) | M[IdentifierStatement, Identifier] = Identifier IdentifierStatementTail
121 | Identifier IdentifierStatementTail StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "ناتج" (Identifier) | Match terminal Identifier
122 | IdentifierStatementTail StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "=" (Assign) | M[IdentifierStatementTail, Assign] = AccessTail Assign Expression Semicolon
123 | AccessTail Assign Expression Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "=" (Assign) | M[AccessTail, Assign] = ε
124 | Assign Expression Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "=" (Assign) | Match terminal Assign
125 | Expression Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | M[Expression, Identifier] = SimpleExpression RelationTail
126 | SimpleExpression RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | M[SimpleExpression, Identifier] = SignOpt Term AdditionTail
127 | SignOpt Term AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | M[SignOpt, Identifier] = ε
128 | Term AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | M[Term, Identifier] = Factor MultiplicationTail
129 | Factor MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | M[Factor, Identifier] = Access
130 | Access MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | M[Access, Identifier] = Identifier AccessTail
131 | Identifier AccessTail MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د1" (Identifier) | Match terminal Identifier
132 | AccessTail MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "+" (Plus) | M[AccessTail, Plus] = ε
133 | MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "+" (Plus) | M[MultiplicationTail, Plus] = ε
134 | AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "+" (Plus) | M[AdditionTail, Plus] = AdditionOperator Term AdditionTail
135 | AdditionOperator Term AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "+" (Plus) | M[AdditionOperator, Plus] = Plus
136 | Plus Term AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "+" (Plus) | Match terminal Plus
137 | Term AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د2" (Identifier) | M[Term, Identifier] = Factor MultiplicationTail
138 | Factor MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د2" (Identifier) | M[Factor, Identifier] = Access
139 | Access MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د2" (Identifier) | M[Access, Identifier] = Identifier AccessTail
140 | Identifier AccessTail MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "د2" (Identifier) | Match terminal Identifier
141 | AccessTail MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | M[AccessTail, Semicolon] = ε
142 | MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | M[MultiplicationTail, Semicolon] = ε
143 | AdditionTail RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | M[AdditionTail, Semicolon] = ε
144 | RelationTail Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | M[RelationTail, Semicolon] = ε
145 | Semicolon StatementList RightBrace Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
146 | StatementList RightBrace Semicolon DefinitionList Block Dot Eof | "}" (RightBrace) | M[StatementList, RightBrace] = ε
147 | RightBrace Semicolon DefinitionList Block Dot Eof | "}" (RightBrace) | Match terminal RightBrace
148 | Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
149 | DefinitionList Block Dot Eof | "{" (LeftBrace) | M[DefinitionList, LeftBrace] = ε
150 | Block Dot Eof | "{" (LeftBrace) | M[Block, LeftBrace] = LeftBrace StatementList RightBrace
151 | LeftBrace StatementList RightBrace Dot Eof | "{" (LeftBrace) | Match terminal LeftBrace
152 | StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[StatementList, Identifier] = Statement StatementList
153 | Statement StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[Statement, Identifier] = IdentifierStatement
154 | IdentifierStatement StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[IdentifierStatement, Identifier] = Identifier IdentifierStatementTail
155 | Identifier IdentifierStatementTail StatementList RightBrace Dot Eof | "أحمد" (Identifier) | Match terminal Identifier
156 | IdentifierStatementTail StatementList RightBrace Dot Eof | "." (Dot) | M[IdentifierStatementTail, Dot] = AccessTail Assign Expression Semicolon
157 | AccessTail Assign Expression Semicolon StatementList RightBrace Dot Eof | "." (Dot) | M[AccessTail, Dot] = Dot Identifier AccessTail
158 | Dot Identifier AccessTail Assign Expression Semicolon StatementList RightBrace Dot Eof | "." (Dot) | Match terminal Dot
159 | Identifier AccessTail Assign Expression Semicolon StatementList RightBrace Dot Eof | "درجة_أولى" (Identifier) | Match terminal Identifier
160 | AccessTail Assign Expression Semicolon StatementList RightBrace Dot Eof | "=" (Assign) | M[AccessTail, Assign] = ε
161 | Assign Expression Semicolon StatementList RightBrace Dot Eof | "=" (Assign) | Match terminal Assign
162 | Expression Semicolon StatementList RightBrace Dot Eof | "85" (Integer) | M[Expression, Integer] = SimpleExpression RelationTail
163 | SimpleExpression RelationTail Semicolon StatementList RightBrace Dot Eof | "85" (Integer) | M[SimpleExpression, Integer] = SignOpt Term AdditionTail
164 | SignOpt Term AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | "85" (Integer) | M[SignOpt, Integer] = ε
165 | Term AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | "85" (Integer) | M[Term, Integer] = Factor MultiplicationTail
166 | Factor MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | "85" (Integer) | M[Factor, Integer] = Integer
167 | Integer MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | "85" (Integer) | Match terminal Integer
168 | MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | ";" (Semicolon) | M[MultiplicationTail, Semicolon] = ε
169 | AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | ";" (Semicolon) | M[AdditionTail, Semicolon] = ε
170 | RelationTail Semicolon StatementList RightBrace Dot Eof | ";" (Semicolon) | M[RelationTail, Semicolon] = ε
171 | Semicolon StatementList RightBrace Dot Eof | ";" (Semicolon) | Match terminal Semicolon
172 | StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[StatementList, Identifier] = Statement StatementList
173 | Statement StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[Statement, Identifier] = IdentifierStatement
174 | IdentifierStatement StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[IdentifierStatement, Identifier] = Identifier IdentifierStatementTail
175 | Identifier IdentifierStatementTail StatementList RightBrace Dot Eof | "أحمد" (Identifier) | Match terminal Identifier
176 | IdentifierStatementTail StatementList RightBrace Dot Eof | "." (Dot) | M[IdentifierStatementTail, Dot] = AccessTail Assign Expression Semicolon
177 | AccessTail Assign Expression Semicolon StatementList RightBrace Dot Eof | "." (Dot) | M[AccessTail, Dot] = Dot Identifier AccessTail
178 | Dot Identifier AccessTail Assign Expression Semicolon StatementList RightBrace Dot Eof | "." (Dot) | Match terminal Dot
179 | Identifier AccessTail Assign Expression Semicolon StatementList RightBrace Dot Eof | "درجة_ثانية" (Identifier) | Match terminal Identifier
180 | AccessTail Assign Expression Semicolon StatementList RightBrace Dot Eof | "=" (Assign) | M[AccessTail, Assign] = ε
181 | Assign Expression Semicolon StatementList RightBrace Dot Eof | "=" (Assign) | Match terminal Assign
182 | Expression Semicolon StatementList RightBrace Dot Eof | "95" (Integer) | M[Expression, Integer] = SimpleExpression RelationTail
183 | SimpleExpression RelationTail Semicolon StatementList RightBrace Dot Eof | "95" (Integer) | M[SimpleExpression, Integer] = SignOpt Term AdditionTail
184 | SignOpt Term AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | "95" (Integer) | M[SignOpt, Integer] = ε
185 | Term AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | "95" (Integer) | M[Term, Integer] = Factor MultiplicationTail
186 | Factor MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | "95" (Integer) | M[Factor, Integer] = Integer
187 | Integer MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | "95" (Integer) | Match terminal Integer
188 | MultiplicationTail AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | ";" (Semicolon) | M[MultiplicationTail, Semicolon] = ε
189 | AdditionTail RelationTail Semicolon StatementList RightBrace Dot Eof | ";" (Semicolon) | M[AdditionTail, Semicolon] = ε
190 | RelationTail Semicolon StatementList RightBrace Dot Eof | ";" (Semicolon) | M[RelationTail, Semicolon] = ε
191 | Semicolon StatementList RightBrace Dot Eof | ";" (Semicolon) | Match terminal Semicolon
192 | StatementList RightBrace Dot Eof | "احسب_المجموع" (Identifier) | M[StatementList, Identifier] = Statement StatementList
193 | Statement StatementList RightBrace Dot Eof | "احسب_المجموع" (Identifier) | M[Statement, Identifier] = IdentifierStatement
194 | IdentifierStatement StatementList RightBrace Dot Eof | "احسب_المجموع" (Identifier) | M[IdentifierStatement, Identifier] = Identifier IdentifierStatementTail
195 | Identifier IdentifierStatementTail StatementList RightBrace Dot Eof | "احسب_المجموع" (Identifier) | Match terminal Identifier
196 | IdentifierStatementTail StatementList RightBrace Dot Eof | "(" (LeftParen) | M[IdentifierStatementTail, LeftParen] = LeftParen ActualArgumentsOpt RightParen Semicolon
197 | LeftParen ActualArgumentsOpt RightParen Semicolon StatementList RightBrace Dot Eof | "(" (LeftParen) | Match terminal LeftParen
198 | ActualArgumentsOpt RightParen Semicolon StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[ActualArgumentsOpt, Identifier] = ActualArguments
199 | ActualArguments RightParen Semicolon StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[ActualArguments, Identifier] = Expression ActualArgumentsTail
200 | Expression ActualArgumentsTail RightParen Semicolon StatementList RightBrace Dot Eof | "أحمد" (Identifier) | M[Expression, Identifier] = SimpleExpression RelationTail
