النوع           | النص               | الموقع
Assign         | = | سطر 21، عمود 14
Integer        | 20 | سطر 21، عمود 16
Semicolon      | ; | سطر 21، عمود 18
Identifier     | نقطة_أ | سطر 22، عمود 5
Dot            | . | سطر 22، عمود 11
Identifier     | رمز | سطر 22، عمود 12
Assign         | = | سطر 22، عمود 16
Character      | A | سطر 22، عمود 18
Semicolon      | ; | سطر 22، عمود 21
Identifier     | نقطة_ب | سطر 25، عمود 5
Dot            | . | سطر 25، عمود 11
Identifier     | س | سطر 25، عمود 12
Assign         | = | سطر 25، عمود 14
Integer        | 30 | سطر 25، عمود 16
Semicolon      | ; | سطر 25، عمود 18
Identifier     | نقطة_ب | سطر 26، عمود 5
Dot            | . | سطر 26، عمود 11
Identifier     | ص | سطر 26، عمود 12
Assign         | = | سطر 26، عمود 14
Integer        | 40 | سطر 26، عمود 16
Semicolon      | ; | سطر 26، عمود 18
Identifier     | نقطة_ب | سطر 27، عمود 5
Dot            | . | سطر 27، عمود 11
Identifier     | رمز | سطر 27، عمود 12
Assign         | = | سطر 27، عمود 16
Character      | B | سطر 27، عمود 18
Semicolon      | ; | سطر 27، عمود 21
Identifier     | مجموع_الإحداثيات | سطر 30، عمود 5
Assign         | = | سطر 30، عمود 22
Identifier     | نقطة_أ | سطر 30، عمود 24
Dot            | . | سطر 30، عمود 30
Identifier     | س | سطر 30، عمود 31
Plus           | + | سطر 30، عمود 33
Identifier     | نقطة_أ | سطر 30، عمود 35
Dot            | . | سطر 30، عمود 41
Identifier     | ص | سطر 30، عمود 42
Plus           | + | سطر 30، عمود 44
Identifier     | نقطة_ب | سطر 30، عمود 46
Dot            | . | سطر 30، عمود 52
Identifier     | س | سطر 30، عمود 53
Plus           | + | سطر 30، عمود 55
Identifier     | نقطة_ب | سطر 30، عمود 57
Dot            | . | سطر 30، عمود 63
Identifier     | ص | سطر 30، عمود 64
Semicolon      | ; | سطر 30، عمود 65
Print          | اطبع | سطر 32، عمود 5
LeftParen      | ( | سطر 32، عمود 9
String         | === بيانات النقطة [أ] === | سطر 32، عمود 10
RightParen     | ) | سطر 32، عمود 37
Semicolon      | ; | سطر 32، عمود 38
Print          | اطبع | سطر 33، عمود 5
LeftParen      | ( | سطر 33، عمود 9
String         | الإحداثي السيني (س) =  | سطر 33، عمود 10
Comma          | , | سطر 33، عمود 34
Identifier     | نقطة_أ | سطر 33، عمود 36
Dot            | . | سطر 33، عمود 42
Identifier     | س | سطر 33، عمود 43
RightParen     | ) | سطر 33، عمود 44
Semicolon      | ; | سطر 33، عمود 45
Print          | اطبع | سطر 34، عمود 5
LeftParen      | ( | سطر 34، عمود 9
String         | الإحداثي الصادي (ص) =  | سطر 34، عمود 10
Comma          | , | سطر 34، عمود 34
Identifier     | نقطة_أ | سطر 34، عمود 36
Dot            | . | سطر 34، عمود 42
Identifier     | ص | سطر 34، عمود 43
RightParen     | ) | سطر 34، عمود 44
Semicolon      | ; | سطر 34، عمود 45
Print          | اطبع | سطر 35، عمود 5
LeftParen      | ( | سطر 35، عمود 9
String         | رمز النقطة المميز =  | سطر 35، عمود 10
Comma          | , | سطر 35، عمود 32
Identifier     | نقطة_أ | سطر 35، عمود 34
Dot            | . | سطر 35، عمود 40
Identifier     | رمز | سطر 35، عمود 41
RightParen     | ) | سطر 35، عمود 44
Semicolon      | ; | سطر 35، عمود 45
Print          | اطبع | سطر 37، عمود 5
LeftParen      | ( | سطر 37، عمود 9
String         | === بيانات النقطة [ب] === | سطر 37، عمود 10
RightParen     | ) | سطر 37، عمود 37
Semicolon      | ; | سطر 37، عمود 38
Print          | اطبع | سطر 38، عمود 5
LeftParen      | ( | سطر 38، عمود 9
String         | الإحداثي السيني (س) =  | سطر 38، عمود 10
Comma          | , | سطر 38، عمود 34
Identifier     | نقطة_ب | سطر 38، عمود 36
Dot            | . | سطر 38، عمود 42
Identifier     | س | سطر 38، عمود 43
RightParen     | ) | سطر 38، عمود 44
Semicolon      | ; | سطر 38، عمود 45
Print          | اطبع | سطر 39، عمود 5
LeftParen      | ( | سطر 39، عمود 9
String         | الإحداثي الصادي (ص) =  | سطر 39، عمود 10
Comma          | , | سطر 39، عمود 34
Identifier     | نقطة_ب | سطر 39، عمود 36
Dot            | . | سطر 39، عمود 42
Identifier     | ص | سطر 39، عمود 43
RightParen     | ) | سطر 39، عمود 44
Semicolon      | ; | سطر 39، عمود 45
Print          | اطبع | سطر 40، عمود 5
LeftParen      | ( | سطر 40، عمود 9
String         | رمز النقطة المميز =  | سطر 40، عمود 10
Comma          | , | سطر 40، عمود 32
Identifier     | نقطة_ب | سطر 40، عمود 34
Dot            | . | سطر 40، عمود 40
Identifier     | رمز | سطر 40، عمود 41
RightParen     | ) | سطر 40، عمود 44
Semicolon      | ; | سطر 40، عمود 45
Print          | اطبع | سطر 42، عمود 5
LeftParen      | ( | سطر 42، عمود 9
String         | === إجمالي الإحداثيات === | سطر 42، عمود 10
RightParen     | ) | سطر 42، عمود 37
Semicolon      | ; | سطر 42، عمود 38
Print          | اطبع | سطر 43، عمود 5
LeftParen      | ( | سطر 43، عمود 9
String         | المجموع الكلي =  | سطر 43، عمود 10
Comma          | , | سطر 43، عمود 28
Identifier     | مجموع_الإحداثيات | سطر 43، عمود 30
RightParen     | ) | سطر 43، عمود 46
Semicolon      | ; | سطر 43، عمود 47
RightBrace     | } | سطر 44، عمود 1
Dot            | . | سطر 44، عمود 2
Eof            |  | سطر 45، عمود 1
