جدول التحليل Table-Driven LL(1) — قواعد الدكتور خالد الكحسة
الصيغة: M[NonTerminal, Lookahead] = Production
M[AccessTail, Dot] = Dot Identifier AccessTail
M[AccessTail, LeftBracket] = LeftBracket Expression RightBracket AccessTail
M[AccessTail, RightBracket] = ε
M[AccessTail, Caret] = ε
M[AccessTail, Backslash] = ε
M[AccessTail, To] = ε
M[AccessTail, Step] = ε
M[Expression, Identifier] = SimpleExpression RelationTail
M[Expression, Integer] = SimpleExpression RelationTail
M[Expression, Real] = SimpleExpression RelationTail
M[Expression, String] = SimpleExpression RelationTail
M[Expression, True] = SimpleExpression RelationTail
M[Expression, False] = SimpleExpression RelationTail
M[Expression, Plus] = SimpleExpression RelationTail
M[Expression, Minus] = SimpleExpression RelationTail
M[Expression, Bang] = SimpleExpression RelationTail
M[Expression, LeftParen] = SimpleExpression RelationTail
M[Expression, Character] = SimpleExpression RelationTail
M[RelationTail, EqualEqual] = RelationOperator SimpleExpression
M[RelationTail, BangEqual] = RelationOperator SimpleExpression
M[RelationTail, Less] = RelationOperator SimpleExpression
M[RelationTail, LessEqual] = RelationOperator SimpleExpression
M[RelationTail, Greater] = RelationOperator SimpleExpression
M[RelationTail, GreaterEqual] = RelationOperator SimpleExpression
M[RelationTail, RightParen] = ε
M[RelationTail, Semicolon] = ε
M[RelationTail, Comma] = ε
M[RelationTail, RightBracket] = ε
M[RelationTail, To] = ε
M[RelationTail, Step] = ε
M[RelationOperator, EqualEqual] = EqualEqual
M[RelationOperator, BangEqual] = BangEqual
M[RelationOperator, Less] = Less
M[RelationOperator, LessEqual] = LessEqual
M[RelationOperator, Greater] = Greater
M[RelationOperator, GreaterEqual] = GreaterEqual
M[SimpleExpression, Identifier] = SignOpt Term AdditionTail
M[SimpleExpression, Integer] = SignOpt Term AdditionTail
M[SimpleExpression, Real] = SignOpt Term AdditionTail
M[SimpleExpression, String] = SignOpt Term AdditionTail
M[SimpleExpression, True] = SignOpt Term AdditionTail
M[SimpleExpression, False] = SignOpt Term AdditionTail
M[SimpleExpression, Plus] = SignOpt Term AdditionTail
M[SimpleExpression, Minus] = SignOpt Term AdditionTail
M[SimpleExpression, Bang] = SignOpt Term AdditionTail
M[SimpleExpression, LeftParen] = SignOpt Term AdditionTail
M[SimpleExpression, Character] = SignOpt Term AdditionTail
M[SignOpt, Identifier] = ε
M[SignOpt, Integer] = ε
M[SignOpt, Real] = ε
M[SignOpt, String] = ε
M[SignOpt, True] = ε
M[SignOpt, False] = ε
M[SignOpt, Plus] = Plus
M[SignOpt, Minus] = Minus
M[SignOpt, Bang] = ε
M[SignOpt, LeftParen] = ε
M[SignOpt, Character] = ε
M[Term, Identifier] = Factor MultiplicationTail
M[Term, Integer] = Factor MultiplicationTail
M[Term, Real] = Factor MultiplicationTail
M[Term, String] = Factor MultiplicationTail
M[Term, True] = Factor MultiplicationTail
M[Term, False] = Factor MultiplicationTail
M[Term, Bang] = Factor MultiplicationTail
M[Term, LeftParen] = Factor MultiplicationTail
M[Term, Character] = Factor MultiplicationTail
M[AdditionTail, Plus] = AdditionOperator Term AdditionTail
M[AdditionTail, Minus] = AdditionOperator Term AdditionTail
M[AdditionTail, EqualEqual] = ε
M[AdditionTail, BangEqual] = ε
M[AdditionTail, Less] = ε
M[AdditionTail, LessEqual] = ε
M[AdditionTail, Greater] = ε
M[AdditionTail, GreaterEqual] = ε
M[AdditionTail, OrOr] = AdditionOperator Term AdditionTail
M[AdditionTail, RightParen] = ε
M[AdditionTail, Semicolon] = ε
M[AdditionTail, Comma] = ε
M[AdditionTail, RightBracket] = ε
M[AdditionTail, To] = ε
M[AdditionTail, Step] = ε
M[AdditionOperator, Plus] = Plus
M[AdditionOperator, Minus] = Minus
M[AdditionOperator, OrOr] = OrOr
M[MultiplicationTail, Plus] = ε
M[MultiplicationTail, Minus] = ε
M[MultiplicationTail, Star] = MultiplicationOperator Factor MultiplicationTail
M[MultiplicationTail, Slash] = MultiplicationOperator Factor MultiplicationTail
M[MultiplicationTail, Percent] = MultiplicationOperator Factor MultiplicationTail
M[MultiplicationTail, EqualEqual] = ε
M[MultiplicationTail, BangEqual] = ε
M[MultiplicationTail, Less] = ε
M[MultiplicationTail, LessEqual] = ε
M[MultiplicationTail, Greater] = ε
M[MultiplicationTail, GreaterEqual] = ε
M[MultiplicationTail, AndAnd] = MultiplicationOperator Factor MultiplicationTail
M[MultiplicationTail, OrOr] = ε
M[MultiplicationTail, RightParen] = ε
M[MultiplicationTail, Semicolon] = ε
M[MultiplicationTail, Comma] = ε
M[MultiplicationTail, RightBracket] = ε
M[MultiplicationTail, Caret] = MultiplicationOperator Factor MultiplicationTail
M[MultiplicationTail, Backslash] = MultiplicationOperator Factor MultiplicationTail
M[MultiplicationTail, To] = ε
M[MultiplicationTail, Step] = ε
M[MultiplicationOperator, Star] = Star
M[MultiplicationOperator, Slash] = Slash
M[MultiplicationOperator, Percent] = Percent
M[MultiplicationOperator, AndAnd] = AndAnd
M[MultiplicationOperator, Caret] = Caret
M[MultiplicationOperator, Backslash] = Backslash
M[Factor, Identifier] = Access
M[Factor, Integer] = Integer
M[Factor, Real] = Real
M[Factor, String] = String
M[Factor, True] = True
M[Factor, False] = False
M[Factor, Bang] = Bang Factor
M[Factor, LeftParen] = LeftParen Expression RightParen
M[Factor, Character] = Character
